,Name,File Name,Generated Smiles,Correct Smiles
103,dy-805,dy-805.PNG,CCC(c1ccc2c(c1)[OH+]*1C(=C2C2=C(CCC=C2)C(=O)O)CCC/C/1=C\C=C\C=C\1/C(CCCS(=*)C(C)C)C2C(=CC(CC2)[C](=O)(O)[O-])C1(C)CCCC(O)O)CC,CCN(CC)c6ccc5c(c1ccccc1C(=O)O)c4CCC/C(=C\C=C\C=C\3C(CCCS(=O)(=O)[O-])c2ccc(S(=O)(=O)[O-])cc2C3(C)CCCC(=O)O)c4[o+]c5c6.[Na+]
104,dy-820,dy-820.PNG,CCN(c1ccc(c(c1)[OH2+])/C(=C\1/CCCC(*1)CCCCC1*(CCCCCC(=O)O)C2C(C1(C)C)C=C(C=C2)S*)/C1=C(C=CCC1)C(=O)N(CC[C](=O)(=O)C)C)CC,CCN(CC)c6ccc5c(C1=C(C(=O)N(C)CCS(=O)(=O)[O-])C=CCC1)c4CCC/C(=C\C=C\C=C/3N(CCCCCC(=O)O)c2ccc(S(=O)(=O)[O-])cc2C3(C)C)c4[o+]c5c6.[Na+]
105,dy-831,dy-831.PNG,C=[O]C(=O)CCCC1(C)c2cc(ccc2C(/C/1=C\C=C\C=C\C=C\C(=C\C(=C)C(C)(C)C)\c1ccc(cc1[OH2+])C(CC)CC)CCCS(=O)(=O)[O-])S(=O)(=O)[O-],CCN(CC)c4ccc3c(/C=C/C=C/C=C/C=C/2N(CCCS(=O)(=O)[O-])c1ccc(S(=O)(=O)[O-])cc1C2(C)CCCC(=O)O)cc(C(C)(C)C)[o+]c3c4.[Na+]
106,dy-840-s,dy-840-s.PNG,CCN(c1ccc2c(c1)OC1=C(CCCC1=C2)/C=C/c1c2ccccc2[nH+]c2c1cccc2)CC,CCN(CC)c6ccc5cc4CCCC(/C=C/c2c1ccccc1[nH+]c3ccccc23)=c4oc5c6.O=Cl(=O)(=O)[O-]
107,dy-845,dy-845.PNG,[O-]SCC1CC(C)(C)C(C2C1CC1C(=C2)[O+]=C2C(=C1C1=C(C=CCC1)C(N(CCC(O)(N)[O-])C)O)CCCC2CCC/C=C\1/N(CCCCCC(=O)N=O)C2C(C1(C)C)C=C(C=C2)S=O)CC,CCN7C6C=C5[O+]=C3/C(=C\C=C\C=C/2N(CCCCCC(=O)O)C1C=CC(S(=O)(=O)[O-])=CC1C2(C)C)CCCC3=C(C4=C(C(=O)N(C)CCS(=O)(=O)[O-])C=CCC4)C5CC6C(CS(=O)(=O)[O-])CC7(C)C.[Na+].[Na+]
108,dy-865,dy-865.PNG,CCCCCC(C(=O)c1ccccc1/C(=C/1\CCC/C(=C\C=C\C=C/2\N(CC)C3=C(C2(C)C)C2=C(CC3)C(CC(=C2)[C](=O)(=*)C)CO)/C1=C)/c1cc2C(=CC(C(c2cc1*)CC)(C)C)C[I](O)[I-])C,CCN6/C(=C/C=C/C=C\1CCCc3c1[o+]c2cc5c(cc2c3c4ccccc4C(=O)N(C)CCCC(=O)O)C(S(=O)(=O)[O-])=CC(C)(C)N5CC)C(C)(C)c7c6ccc8c(S(=O)(=O)[O-])cc(S(=O)(=O)[O-])cc78.[Na+].[Na+]
109,dyq-660,dyq-660.PNG,CCN(c1ccc2c(c1)[o+]c(c(c2/C=C/C=C/1\N(CCCCCC(=O)O)c2c(C1(C)C)cc(cc2)S(=O)(=O)[O-])C)c1ccccc1)CC,CCN(c1ccc2c(c1)[o+]c(c(c2/C=C/C=C/1\N(CCCCCC(=O)O)c2c(C1(C)C)cc(cc2)S(=O)(=O)[O-])C)c1ccccc1)CC
110,dyq-661,dyq-661.PNG,CCN(c1ccc2c(c1)[o+]c(c(c2/C=C/C=C/1\N(CCCS(=O)(=O)[O-])c2c(C1(C)CCCC(=O)O)cc(cc2)S(=O)(=O)[O-])C)c1ccccc1)CC,CCN(c1ccc2c(c1)[o+]c(c(c2/C=C/C=C/1\N(CCCS(=O)(=O)[O-])c2c(C1(C)CCCC(=O)O)cc(cc2)S(=O)(=O)[O-])C)c1ccccc1)CC.[Na+].[Na+]
111,v13-01184,v13-01184.PNG,OCCN1CCN(CC1)c1cc(/C=C/2\Sc3c(N2C)cccc3)c2c([o+]1)cc(cc2)N(CC)CC,CCN(CC)c5ccc4c(C=c2sc1ccccc1n2C)cc(N3CCN(CCO)CC3)[o+]c4c5.F[B-](F)(F)F
112,v02-07027,v02-07027.PNG,CCN(c1ccc2c(c1)[o]c(cc2/C=C/1\Sc2c(N1C)cccc2)N(CCCN(C)C)C)CC,CCN(CC)c4ccc3c(C=c2sc1ccccc1n2C)cc(N(C)CCCN(C)C)[o+]c3c4.F[B-](F)(F)F
113,v02-08078,v02-08078.PNG,CCN(c1ccc2c(c1)[o+]c(cc2C=C1Sc2c(N1C)cccc2)N1CC[NH+](CC1)CCN(C)C)CC [O-]C(=O)C(F)(F)F [O-]C(=O)C(F)(F)F,CCN(CC)c5ccc4c(C=c2sc1ccccc1n2C)cc(N3CC[N+](C)(CC[N+](C)(C)C)CC3)[o+]c4c5.O=C([O-])C(F)(F)F.O=C([O-])C(F)(F)F.O=C([O-])C(F)(F)F
